broadcast_name,country_code,driver_number,first_name,full_name,last_name,meeting_key,name_acronym,session_key,team_colour,team_name
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1211,PER,9097,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1211,VER,9098,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1211,PER,9098,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1211,VER,9102,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1211,PER,9102,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1212,VER,9103,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1212,PER,9103,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1212,VER,9104,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1212,PER,9104,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1212,VER,9105,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1212,PER,9105,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1212,VER,9106,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1212,PER,9106,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1212,VER,9110,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1212,PER,9110,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1213,VER,9111,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1213,PER,9111,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1213,VER,9112,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1213,PER,9112,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1213,VER,9117,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1213,PER,9117,3671C6,Red Bull Racing
